Rxx(Ohm),T(mK)
356.4873,-84.23688784
357.27255,-84.5371976
358.15158,-84.83750736
357.64542,-85.13781712
358.22446,-85.43812688
358.25928,-85.73843664
357.42877,-86.0387464
357.65588,-86.33905616
357.88635,-86.63936592
357.51349,-86.93967568
357.34204,-87.23998544
357.63156,-87.5402952
357.96973,-87.84060496
358.20016,-88.14091472
357.11493,-88.44122449
357.24826,-88.74153425
360.31329,-89.04184401
357.41492,-89.34215377
356.76291,-89.64246353
357.39059,-89.94277329
356.99347,-90.24308305
358.51398,-90.54339281
359.00952,-90.84370257
357.82727,-91.14401233
357.54822,-91.44432209
357.7912,-91.74463185
357.76688,-92.04494161
356.72824,-92.34525137
356.87399,-92.64556113
357.76688,-92.94587089
357.12881,-93.24618065
358.22446,-93.54649041
357.93494,-93.84680018
357.98352,-94.14710994
358.97357,-94.4474197
357.93494,-94.74772946
357.80167,-95.04803922
358.46539,-95.34834898
358.39453,-95.64865874
358.48969,-95.9489685
358.45483,-96.24927826
357.48782,-96.54958802
358.08069,-96.84989778
359.03278,-97.15020754
359.02219,-97.4505173
357.48782,-97.75082706
357.6835,-98.05113682
358.52454,-98.35144658
358.54883,-98.65175634
357.77737,-98.9520661
358.76752,-99.25237587
359.40686,-99.55268563
359.00848,-99.85299539
359.54199,-100.1533051
359.336,-100.4536149
359.745,-100.7539247
360.20459,-101.0542344
358.91129,-101.3545442
358.86267,-101.6548539
357.80167,-101.9551637
358.29736,-102.2554735
358.41882,-102.5557832
358.12726,-102.856093
358.35648,-103.1564028
358.05643,-103.4567125
358.63547,-103.7570223
357.39059,-104.057332
358.47592,-104.3576418
358.85211,-104.6579516
358.42938,-104.9582613
358.57632,-105.2585711
359.51471,-105.5588808
357.41492,-105.8591906
358.12726,-106.1595004
358.85211,-106.4598101
357.51349,-106.7601199
357.66971,-107.0604296
357.30728,-107.3607394
357.89682,-107.6610492
357.22256,-107.9613589
357.87253,-108.2616687
357.46353,-108.5619784
358.08069,-108.8622882
357.64542,-109.162598
357.42877,-109.4629077
357.35587,-109.7632175
357.6073,-110.0635272
357.13925,-110.363837
358.5383,-110.6641468
358.37024,-110.9644565
357.76688,-111.2647663
358.9144,-111.565076
358.64917,-111.8653858
358.72006,-112.1656956
358.47916,-112.4660053
358.40625,-112.7663151
358.22446,-113.0666249
358.61118,-113.3669346
359.09305,-113.6672444
358.5383,-113.9675541
359.40686,-114.2678639
359.30106,-114.5681737
359.336,-114.8684834
357.85156,-115.1687932
358.51398,-115.4691029
358.04263,-115.7694127
358.54883,-116.0697225
359.10364,-116.3700322
358.85211,-116.670342
358.44107,-116.9706517
358.30789,-117.2709615
359.03278,-117.5712713
359.34763,-117.871581
359.97519,-118.1718908
359.45544,-118.4722005
359.06873,-118.7725103
358.44107,-119.0728201
358.33218,-119.3731298
359.14163,-119.6734396
358.94928,-119.9737493
359.34763,-120.2740591
358.73264,-120.5743689
359.02219,-120.8746786
359.1553,-121.1749884
358.50345,-121.4752981
358.45483,-121.7756079
360.92737,-122.0759177
361.6279,-122.3762274
360.63785,-122.6765372
359.81787,-122.9768469
358.97357,-123.2771567
358.34595,-123.5774665
359.75565,-123.8777762
358.82779,-124.178086
358.8764,-124.4783958
358.552,-124.7787055
358.98727,-125.0790153
358.47916,-125.379325
359.29803,-125.6796348
359.46609,-125.9799446
359.41751,-126.2802543
359.45544,-126.5805641
359.2388,-126.8808738
359.1796,-127.1811836
359.14163,-127.4814934
361.3978,-127.7818031
360.61356,-128.0821129
360.39691,-128.3824226
360.27542,-128.6827324
360.27542,-128.9830422
360.68643,-129.2833519
362.0632,-129.5836617
362.55603,-129.8839714
362.99136,-130.1842812
363.08652,-130.484591
361.1926,-130.7849007
360.69995,-131.0852105
361.11093,-131.3855202
360.8923,-131.68583
360.54269,-131.9861398
360.38336,-132.2864495
360.68643,-132.5867593
359.55261,-132.887069
359.79355,-133.1873788
359.66049,-133.4876886
360.0831,-133.7879983
361.7251,-134.0883081
361.17035,-134.3886179
361.53073,-134.6889276
362.66653,-134.9892374
360.89157,-135.2895471
360.84299,-135.5898569
360.62433,-135.8901667
360.16669,-136.1904764
360.1424,-136.4907862
359.99951,-136.7910959
360.03448,-137.0914057
360.5184,-137.3917155
360.289,-137.6920252
360.45905,-137.992335
359.76926,-138.2926447
359.90146,-138.5929545
360.4212,-138.8932643
359.93933,-139.193574
360.26389,-139.4938838
360.37262,-139.7941935
361.04886,-140.0945033
362.83459,-140.3948131
360.36188,-140.6951228
362.01462,-140.9954326
360.61356,-141.2957423
360.32404,-141.5960521
361.48212,-141.8963619
361.95264,-142.1966716
360.78363,-142.4969814
360.50485,-142.7972911
360.22888,-143.0976009
360.80792,-143.3979107
360.29974,-143.6982204
360.24042,-143.9985302
360.67569,-144.2988399
361.36267,-144.5991497
361.53073,-144.8994595
361.65219,-145.1997692
360.55344,-145.500079
361.24118,-145.8003888
360.39691,-146.1006985
361.38696,-146.4010083
361.66562,-146.701318
360.71075,-147.0016278
360.66214,-147.3019376
361.37613,-147.6022473
360.46982,-147.9025571
360.4455,-148.2028668
360.98676,-148.5031766
363.88434,-148.8034864
362.62891,-149.1037961
360.4212,-149.4041059
360.62433,-149.7044156
360.5184,-150.0047254
