Rxx(Ohm),B(mT)
43.284821,2949.689938
46.4165,2948.289658
43.530537,2946.889378
43.344936,2945.489098
43.079586,2944.088818
42.057495,2942.688538
43.790478,2941.288258
44.19191,2939.887978
44.973518,2938.487698
41.491116,2937.087417
41.967266,2935.687137
43.981487,2934.286857
45.022743,2932.886577
42.172634,2931.486297
41.62653,2930.086017
43.069164,2928.685737
41.997375,2927.285457
42.177734,2925.885177
43.921368,2924.484897
41.927059,2923.084617
42.803871,2921.684337
42.182629,2920.284057
42.628689,2918.883777
41.696724,2917.483497
41.356056,2916.083217
42.207798,2914.682937
41.326004,2913.282657
42.413086,2911.882376
41.486305,2910.482096
41.481285,2909.081816
40.584404,2907.681536
40.815056,2906.281256
40.068539,2904.880976
40.494225,2903.480696
39.828033,2902.080416
39.892971,2900.680136
39.767925,2899.279856
39.888149,2897.879576
41.506321,2896.479296
39.192055,2895.079016
39.497414,2893.678736
40.098591,2892.278456
38.419933,2890.878176
39.141422,2889.477896
39.381954,2888.077616
41.245777,2886.677335
38.445339,2885.277055
38.951633,2883.876775
39.948261,2882.476495
39.201542,2881.076215
39.13195,2879.675935
39.50219,2878.275655
39.081299,2876.875375
39.407246,2875.475095
39.652493,2874.074815
38.510113,2872.674535
37.904278,2871.274255
38.239571,2869.873975
38.355171,2868.473695
38.114719,2867.073415
37.63377,2865.673135
37.999039,2864.272855
36.70192,2862.872575
37.779476,2861.472294
37.367729,2860.072014
37.24749,2858.671734
37.088211,2857.271454
37.397789,2855.871174
38.419933,2854.470894
37.698441,2853.070614
36.886768,2851.670334
37.994446,2850.270054
36.495937,2848.869774
37.273045,2847.469494
36.671864,2846.069214
34.357368,2844.668934
36.405758,2843.268654
37.878803,2841.868374
35.800175,2840.468094
37.513542,2839.067814
37.569107,2837.667534
36.697475,2836.267253
34.20295,2834.866973
35.168941,2833.466693
35.233318,2832.066413
36.105106,2830.666133
35.654209,2829.265853
35.383617,2827.865573
35.229057,2826.465293
35.022896,2825.065013
34.752304,2823.664733
35.533966,2822.264453
34.030815,2820.864173
34.992836,2819.463893
33.098904,2818.063613
34.090935,2816.663333
35.439449,2815.263053
35.55542,2813.862773
34.146923,2812.462492
34.511826,2811.062212
33.030788,2809.661932
34.683788,2808.261652
32.918545,2806.861372
33.305294,2805.461092
33.579914,2804.060812
34.20295,2802.660532
33.790337,2801.260252
31.892546,2799.859972
34.537708,2798.459692
31.832432,2797.059412
33.249207,2795.659132
33.008724,2794.258852
33.966587,2792.858572
35.499615,2791.458292
32.527714,2790.058012
33.696079,2788.657732
34.026699,2787.257451
33.485638,2785.857171
32.429684,2784.456891
32.189209,2783.056611
32.163052,2781.656331
31.862488,2780.256051
32.824345,2778.855771
33.305294,2777.455491
32.279419,2776.055211
32.82037,2774.654931
30.90432,2773.254651
30.475954,2771.854371
33.038784,2770.454091
33.846363,2769.053811
30.90432,2767.653531
31.892546,2766.253251
32.072884,2764.852971
30.75392,2763.452691
30.720146,2762.05241
30.569862,2760.65213
30.272909,2759.25185
30.569862,2757.85157
31.50176,2756.45129
31.111031,2755.05101
32.042828,2753.65073
30.152668,2752.25045
32.038948,2750.85017
32.91058,2749.44989
31.295153,2748.04961
30.784081,2746.64933
31.655922,2745.24905
30.118967,2743.84877
31.257528,2742.44849
30.149023,2741.04821
29.57432,2739.64793
30.449587,2738.24765
30.149023,2736.847369
29.424057,2735.447089
28.826443,2734.046809
30.385796,2732.646529
29.758238,2731.246249
30.449587,2729.845969
31.08473,2728.445689
28.980228,2727.045409
30.028797,2725.645129
31.449102,2724.244849
28.135094,2722.844569
28.191793,2721.444289
29.821959,2720.044009
28.980228,2718.643729
29.401119,2717.243449
26.875875,2715.843169
29.096949,2714.442889
28.859987,2713.042609
28.465714,2711.642328
28.582531,2710.242048
28.018257,2708.841768
27.269819,2707.441488
29.878464,2706.041208
27.928026,2704.640928
26.124323,2703.240648
26.515104,2701.840368
26.992851,2700.440088
27.056234,2699.039808
27.69076,2697.639528
27.600569,2696.239248
26.996115,2694.838968
25.943914,2693.438688
26.635345,2692.038408
25.493013,2690.638128
26.364803,2689.237848
26.391672,2687.837568
27.026176,2686.437287
26.33156,2685.037007
25.763554,2683.636727
26.996115,2682.236447
25.222424,2680.836167
25.733494,2679.435887
26.515104,2678.035607
26.57201,2676.635327
26.121164,2675.235047
23.929741,2673.834767
24.467913,2672.434487
25.008978,2671.034207
24.858696,2669.633927
24.317631,2668.233647
26.057898,2666.833367
23.986959,2665.433087
25.156214,2664.032807
24.978922,2662.632527
23.773687,2661.232246
25.853733,2659.831966
24.317631,2658.431686
24.074266,2657.031406
23.415888,2655.631126
23.773687,2654.230846
24.380692,2652.830566
23.295612,2651.430286
21.462021,2650.030006
22.153419,2648.629726
23.115274,2647.229446
21.489529,2645.829166
22.423927,2644.428886
22.246279,2643.028606
21.341797,2641.628326
20.921007,2640.228046
22.186159,2638.827766
21.975689,2637.427485
22.661634,2636.027205
22.210844,2634.626925
21.464617,2633.226645
19.690977,2631.826365
22.273645,2630.426085
19.898989,2629.025805
20.587845,2627.625525
20.377476,2626.225245
21.068739,2624.824965
19.626106,2623.424685
20.232107,2622.024405
19.871336,2620.624125
20.472588,2619.223845
18.636522,2617.823565
18.909367,2616.423285
18.819136,2615.023005
19.357924,2613.622725
20.442526,2612.222444
19.055054,2610.822164
18.666576,2609.421884
17.04343,2608.021604
17.221685,2606.621324
18.187824,2605.221044
17.855003,2603.820764
17.766983,2602.420484
16.143593,2601.020204
16.802931,2599.619924
17.073488,2598.219644
16.562479,2596.819364
15.568632,2595.419084
14.967477,2594.018804
14.939232,2592.618524
14.758895,2591.218244
15.239847,2589.817964
15.688894,2588.417684
15.119621,2587.017403
15.722751,2585.617123
14.307998,2584.216843
14.909176,2582.816563
15.360073,2581.416283
13.286031,2580.016003
13.798657,2578.615723
14.398167,2577.215443
15.269903,2575.815163
13.286031,2574.414883
12.95536,2573.014603
13.3762,2571.614323
14.670499,2570.214043
13.287638,2568.813763
13.676764,2567.413483
12.232475,2566.013203
12.264013,2564.612923
12.865191,2563.212643
10.61081,2561.812362
12.504463,2560.412082
11.513946,2559.011802
12.232475,2557.611522
11.45244,2556.211242
10.819896,2554.810962
11.45244,2553.410682
12.925303,2552.010402
9.8581066,2550.610122
11.45244,2549.209842
11.303525,2547.809562
9.2882299,2546.409282
11.963449,2545.009002
10.369055,2543.608722
9.8593006,2542.208442
10.281384,2540.808162
9.8292446,2539.407882
9.8003731,2538.007602
9.9206133,2536.607321
10.250084,2535.207041
12.803528,2533.806761
10.579473,2532.406481
9.2581224,2531.006201
9.1679535,2529.605921
10.038474,2528.205641
9.7691317,2526.805361
8.2060986,2525.405081
8.4154749,2524.004801
11.481107,2522.604521
9.0788813,2521.204241
8.2952633,2519.803961
9.4385109,2518.403681
8.8985224,2517.003401
7.5748134,2515.603121
8.2060986,2514.202841
7.6950893,2512.802561
7.7852583,2511.40228
7.5447574,2510.002
7.964633,2508.60172
7.6640549,2507.20144
7.0328965,2505.80116
7.874475,2504.40088
7.1231055,2503.0006
6.5220003,2501.60032
6.7031283,2500.20004
7.0939112,2498.79976
7.9045272,2497.39948
8.5377512,2495.9992
7.2441936,2494.59892
6.2514749,2493.19864
6.9435792,2491.79836
7.0328965,2490.39808
7.4245315,2488.9978
6.2214222,2487.59752
7.0337481,2486.197239
5.7419171,2484.796959
6.1613169,2483.396679
6.8834662,2481.996399
5.9509473,2480.596119
6.1026883,2479.195839
5.8614988,2477.795559
6.0110531,2476.395279
5.8607898,2474.994999
5.1995788,2473.594719
5.4713774,2472.194439
6.0718937,2470.794159
6.492733,2469.393879
5.0805469,2467.993599
7.303422,2466.593319
6.4618945,2465.193039
5.3204336,2463.792759
4.3279634,2462.392478
5.4700532,2460.992198
5.6209974,2459.591918
8.2972708,2458.191638
4.9891744,2456.791358
4.0579596,2455.391078
5.7713299,2453.990798
3.2159109,2452.590518
5.2603207,2451.190238
4.4191961,2449.789958
5.8908424,2448.389678
4.568953,2446.989398
5.3210773,2445.589118
6.3724575,2444.188838
4.6886215,2442.788558
3.9973576,2441.388278
4.6886215,2439.987998
3.336127,2438.587718
5.560885,2437.187437
3.9973576,2435.787157
4.629631,2434.386877
3.4872496,2432.986597
4.5990148,2431.586317
6.1312642,2430.186037
3.0656321,2428.785757
3.0960646,2427.385477
5.6804223,2425.985197
2.4645317,2424.584917
4.2678528,2423.184637
4.1180725,2421.784357
5.8908424,2420.384077
3.2159109,2418.983797
4.689189,2417.583517
2.0738158,2416.183237
2.7049739,2414.782957
3.8475447,2413.382677
3.0656321,2411.982396
2.4645317,2410.582116
3.7268479,2409.181836
3.3661847,2407.781556
3.6070635,2406.381276
2.9461238,2404.980996
2.5850656,2403.580716
2.1341846,2402.180436
4.088016,2400.780156
3.6976848,2399.379876
2.0137053,2397.979596
2.3743687,2396.579316
2.0738158,2395.179036
3.7874117,2393.778756
1.8033109,2392.378476
4.538897,2390.978196
3.2768142,2389.577916
3.4262953,2388.177636
4.208252,2386.777355
4.5684004,2385.377075
2.2240896,2383.976795
2.5853784,2382.576515
2.2839236,2381.176235
2.3148181,2379.775955
4.1781902,2378.375675
2.825537,2376.975395
1.2322633,2375.575115
1.1423764,2374.174835
2.5252535,2372.774555
2.2842002,2371.374275
3.8174732,2369.973995
3.276418,2368.573715
1.7736874,2367.173435
3.336127,2365.773155
0.36070633,2364.372875
2.4651282,2362.972595
1.4428273,2361.572314
3.8776062,2360.172034
2.7353578,2358.771754
2.7650845,2357.371474
4.0579596,2355.971194
3.69679,2354.570914
2.3743687,2353.170634
1.923542,2351.770354
1.7434114,2350.370074
3.1858532,2348.969794
3.3661847,2347.569514
2.0740669,2346.169234
1.5328161,2344.768954
1.5628738,2343.368674
2.0740669,2341.968394
2.4044211,2340.568114
1.9540677,2339.167834
1.8934791,2337.767554
1.7432004,2336.367273
1.3825423,2334.966993
2.1341846,2333.566713
2.2240896,2332.166433
1.9535948,2330.766153
2.7654192,2329.365873
1.2322633,2327.965593
2.1041234,2326.565313
1.2022105,2325.165033
1.9538313,2323.764753
1.2623212,2322.364473
0.9919464,2320.964193
2.4945846,2319.563913
2.5249481,2318.163633
1.0521915,2316.763353
1.1721579,2315.363073
2.6151221,2313.962793
1.2020651,2312.562513
1.9535948,2311.162232
2.6148057,2309.761952
1.6834972,2308.361672
2.4951882,2306.961392
2.7954757,2305.561112
0.42082414,2304.160832
2.7954757,2302.760552
1.8033109,2301.360272
3.0660033,2299.959992
3.0055215,2298.559712
2.194037,2297.159432
1.2926867,2295.759152
0,2294.358872
2.0740669,2292.958592
2.3142579,2291.558312
0.72150093,2290.158032
1.5929266,2288.757752
2.2544205,2287.357471
0.69126862,2285.957191
1.1422383,2284.556911
0.57119077,2283.156631
1.923542,2281.756351
0.45082799,2280.356071
1.4426527,2278.955791
1.3827096,2277.555511
0.36066267,2276.155231
1.1421001,2274.754951
-0.15027632,2273.354671
1.2022105,2271.954391
0.87160021,2270.554111
1.2923739,2269.153831
-0.21038635,2267.753551
0.33064795,2266.353271
2.825537,2264.952991
0.72132635,2263.552711
0.51106572,2262.15243
3.0355794,2260.75215
0.54106027,2259.35187
2.194037,2257.95159
1.8939375,2256.55131
0.72132635,2255.15103
2.194037,2253.75075
1.8033109,2252.35047
0.63115805,2250.95019
1.8937083,2249.54991
1.0822514,2248.14963
-0.24047175,2246.74935
1.0821205,2245.34907
1.7131476,2243.94879
-1.5328161,2242.54851
-0.18033159,2241.14823
1.1724416,2239.74795
0.72150093,2238.34767
-0.30055264,2236.947389
1.7131476,2235.547109
1.0520642,2234.146829
0.030051678,2232.746549
0.63123447,2231.346269
1.8033109,2229.945989
1.3224317,2228.545709
2.7350266,2227.145429
2.5249481,2225.745149
2.4047122,2224.344869
1.6530371,2222.944589
0.63115805,2221.544309
0.090176709,2220.144029
0.99206638,2218.743749
2.0440054,2217.343469
1.3225918,2215.943189
1.6231807,2214.542909
2.1642411,2213.142629
-0.030055316,2211.742348
-0.21038635,2210.342068
1.172016,2208.941788
1.1422383,2207.541508
1.4730619,2206.141228
0.96176851,2204.740948
0.78134233,2203.340668
0.51100391,2201.940388
0.33064795,2200.540108
1.1120473,2199.139828
0.66129589,2197.739548
0.4808853,2196.339268
0.75137913,2194.938988
0.12023561,2193.538708
-0.75128818,2192.138428
-0.21038635,2190.738148
-0.63123447,2189.337868
0.96176851,2187.937588
2.224359,2186.537307
1.1724416,2185.137027
0.9319362,2183.736747
1.3825423,2182.336467
0.81148964,2180.936187
0.66121584,2179.535907
0.18035342,2178.135627
0.63123447,2176.735347
0.39071795,2175.335067
3.5469456,2173.934787
0.75147009,2172.534507
3.1261208,2171.134227
1.2322633,2169.733947
1.3828769,2168.333667
0.54099476,2166.933387
-0.96176851,2165.533107
2.1038687,2164.132827
-0.15027632,2162.732547
0.63115805,2161.332266
0.87160021,2159.931986
0.060110532,2158.531706
1.1721579,2157.131426
0.33064795,2155.731146
0.30055264,2154.330866
2.67524,2152.930586
1.2623212,2151.530306
0.57105255,2150.130026
0.99182636,2148.729746
0.39076525,2147.329466
-0.57105255,2145.929186
1.1120473,2144.528906
0.81148964,2143.128626
0.33064795,2141.728346
1.0520642,2140.328066
0.27049738,2138.927786
0.90187621,2137.527506
1.923775,2136.127225
1.1721579,2134.726945
1.0519369,2133.326665
0.27053013,2131.926385
0.15029451,2130.526105
-0.12022106,2129.125825
0.87160021,2127.725545
1.8634214,2126.325265
0.12022106,2124.924985
1.1724416,2123.524705
1.2923739,2122.124425
0.27053013,2120.724145
0.090176709,2119.323865
1.7734728,2117.923585
1.3524843,2116.523305
0.57105255,2115.123025
0.18035342,2113.722745
0,2112.322464
2.314538,2110.922184
0.51100391,2109.521904
1.3225918,2108.121624
-0.15027632,2106.721344
-0.42077321,2105.321064
1.1721579,2103.920784
0.18033159,2102.520504
0.21041182,2101.120224
0.75137913,2099.719944
-0.33068794,2098.319664
1.2023561,2096.919384
2.3445945,2095.519104
0.36066267,2094.118824
1.4129368,2092.718544
0.36070633,2091.318264
-0.42077321,2089.917984
1.6229843,2088.517704
0.96176851,2087.117423
-0.36070633,2085.717143
0.901658,2084.316863
1.0519369,2082.916583
-0.15027632,2081.516303
0.42077321,2080.116023
0.72132635,2078.715743
1.3524843,2077.315463
1.2623212,2075.915183
1.0821205,2074.514903
-0.4809435,2073.114623
0.78153151,2071.714343
0.57105255,2070.314063
0.87160021,2068.913783
0.84164929,2067.513503
-0.42082414,2066.113223
0.69126862,2064.712943
1.1120473,2063.312663
0.48100168,2061.912382
0.84164929,2060.512102
1.0519369,2059.111822
0.39071795,2057.711542
1.2926867,2056.311262
1.1422383,2054.910982
2.5249481,2053.510702
0.69126862,2052.110422
0.18033159,2050.710142
-0.060125079,2049.309862
1.5025814,2047.909582
-0.12023561,2046.509302
1.9535948,2045.109022
-0.18033159,2043.708742
0.63115805,2042.308462
1.1721579,2040.908182
-0.78153151,2039.507902
1.1120473,2038.107622
