ne(cm-2),Rxx(Ohm)
3.09988E+12,1794481.2
3.09275E+12,1485821.6
3.08561E+12,558748.69
3.07848E+12,-1702809.6
3.07134E+12,-1192499.1
3.06421E+12,-inf
3.05707E+12,-700001.56
3.04994E+12,-324999.41
3.04281E+12,1665273.5
3.03567E+12,-3011362.8
3.02854E+12,955875.44
3.0214E+12,164062.28
3.01427E+12,161457.8
3.00713E+12,1855362.6
3E+12,3056735.8
